"CODGEO","Part_actif_salaries","Population","Rurale","Prixm2Moyen","Revenu_median","Retraite","Densité_médicale_BV","Score_équipement_santé","Nb_mineurs","Nb_etudiants","nb_entreprises","Score_urbanité"
"33232",76.92307692,44,"1",1396,19654.1967234912,27.5,0.137445524639625,4,45,5,2,0
"33233",81.20689655,1703,"1",1409.23076923077,18558,461.435080152942,0.0955414012738854,2,1995,95,71,0
"33234",81.36792453,3195,"0",2543.03448275862,25656.8888888889,868.957925000789,1,1,3696,256,303,87.5
"33235",77.27272727,179,"1",1153.82941666667,16243.8888888889,66.6122448979592,0.137445524639625,4,218,14,5,0
"33236",73.10623039,6304,"0",4567.425,22417.6923076923,2582.55859552497,0.161917532685216,4,7179,298,821,37.5
"33237",82.48847926,547,"1",1445.83333333333,20230,126.553372949614,0.140797854508884,4,654,34,24,0
"33238",89.47075209,8267,"0",2575.16216216216,24880.5,2223,1,1,9752,751,434,87.5
"33239",80.43478261,400,"1",1380.66666666667,17825.3333333333,177.081967213115,0.137445524639625,4,459,20,19,0
"33240",85.2520224,4856,"0",1447.47058823529,17346,1631.16978617743,0.135434126718069,4,5768,296,466,25
"33241",89.09952607,585,"0",1341.66666666667,18748.2608695652,94.1824440619621,0.153536708012068,3,691,34,15,25
"33242",62.08530806,543,"1",1545.66666666667,18515.3333333333,199.273092306434,1,1,627,29,25,0
"33243",88.85405782,21764,"0",1857.70486111111,18492,5805.95485291345,0.137110291652699,4,25070,1449,1998,50
"33244",87.17948718,243,"1",2062,19808.6666666667,69.3181818181818,0.137445524639625,4,277,13,11,0
"33245",83.68794326,676,"0",2728.66666666667,25880.8,165,1,1,793,56,29,87.5
"33246",69.11764706,155,"1",848,17473.1458333333,40,1,1,186,7,6,0
"33247",68.42105263,113,"1",1435.78329166667,19453.3333333333,46.0588235294118,1,1,125,3,6,0
"33248",84.47606727,1858,"1",1500.54166666667,19894.6666666667,453.496738211315,0.0898424404961448,4,2178,115,74,0
"33249",93.33781965,21340,"0",2043.36231884058,15983.4615384615,4091.09128225281,1,1,25679,1727,1254,87.5
"33250",71.75572519,310,"1",1127,19707,55.0849673202615,0.126047603084143,4,374,27,10,0
"33251",83.24324324,540,"1",1455.40459185259,19344.9583333333,120.119318181818,0.140797854508884,4,677,31,21,0
"33252",80,442,"1",1321,23248.6666666667,104,0.0811263828360711,3,530,29,27,0
"33253",85.86666667,939,"0",1255.66666666667,19933,299.64905751925,0.124371438149514,4,1088,57,29,12.5
"33254",71.31147541,335,"1",1514.5,18930,100,0.126047603084143,4,385,21,23,0
"33255",92,209,"1",1204,19664,81.1522633744856,0.137445524639625,4,248,7,9,0
"33256",92.47588424,3326,"1",2263.17142857143,22884.2857142857,733.513206003038,1,1,4054,260,129,0
"33257",74.56140351,300,"1",2138,20516.8,60.7668067226891,0.0965471002346631,2,348,27,15,0
"33258",74.54545455,237,"1",1801.5,19035.3571428571,80,0.11733154542407,4,270,9,13,0
"33259",81.26520681,999,"1",1477.33333333333,20360.5555555556,270,0.137110291652699,4,1167,80,46,0
"33260",87.69230769,559,"1",1825.4,20990.4761904762,161.491841491842,0.107609788803218,4,672,32,26,0
"33261",76.54109589,1332,"1",1078.2,18474,276.400770914719,0.137110291652699,4,1576,71,76,0
"33262",90.45031056,2884,"0",1917.05882352941,20857.619047619,649,1,1,3412,209,133,12.5
"33263",83.75,156,"1",2051.5,22299,19.1150442477876,0.0811263828360711,3,181,10,7,0
